sim_time,scan_min,amcl_x,amcl_y,cov_x,cov_y,gt_x,gt_y,gt_yaw,error_dist
1783921623.943,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921624.964,0.580,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921625.988,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921627.015,0.572,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921628.040,0.583,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921629.071,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921630.091,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921631.120,0.585,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921632.145,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921633.173,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921634.205,0.588,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921635.231,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921636.255,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921637.282,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921638.312,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921639.335,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921640.360,0.593,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921641.402,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921642.426,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921643.469,0.595,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921644.496,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921645.525,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921646.551,0.598,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921647.582,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921648.614,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921649.642,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921650.678,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921651.699,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921652.721,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921653.752,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921654.772,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921655.798,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921656.823,0.588,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921657.851,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921658.879,0.608,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921659.899,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921660.917,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921661.944,0.600,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921662.972,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921664.017,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921665.043,0.591,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921666.062,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921667.091,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921668.118,0.594,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921669.145,0.610,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921670.176,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921671.208,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921672.236,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921673.258,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921674.279,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921675.309,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921676.333,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921677.366,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921678.395,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921679.417,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921680.443,0.613,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921681.474,0.589,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921682.508,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921683.542,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921684.567,0.587,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921685.605,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921686.629,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921687.657,0.575,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921688.685,0.580,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921689.721,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921690.755,0.582,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921691.787,0.573,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921692.816,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921693.839,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921694.864,0.584,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
